customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,num_orders,labels,class
0,0,44.666666666666664,14.11,4,13,14.069999999999999,73.20333333333333,4.3566666666666665,6.2,2.1766666666666667,0.0,0.0,0.0,3.0,1,fresh_regulars
1,3,31.15,17.849,1,12,17.762,52.909000000000006,17.760999999999996,3.2075000000000005,2.3145,4.351999999999999,1.6949999999999998,0.0,20.0,4,loyals
2,23,26.0,2.97,6,23,24.1,22.29,38.69,14.92,0.0,0.0,0.0,0.0,1.0,8,grocery_regulars
3,24,27.782608695652176,4.102173913043479,1,10,23.825652173913046,51.280869565217394,8.220869565217392,14.773478260869567,0.0,0.0,1.8986956521739131,0.0,23.0,4,loyals
4,47,17.103448275862068,4.373103448275862,3,9,24.841379310344823,51.08241379310345,10.291034482758619,13.035172413793102,0.6837931034482758,0.0,0.06551724137931034,0.0,29.0,4,loyals
5,76,21.0,11.76,2,23,6.84,0.0,24.02,26.87,10.21,0.0,32.06,0.0,1.0,8,grocery_regulars
6,77,40.76923076923077,2.683846153846154,2,12,39.315384615384616,23.766923076923078,19.72153846153846,5.633076923076923,2.1884615384615382,0.0,6.617692307692308,2.7569230769230773,13.0,4,loyals
7,90,40.0,0.93,1,20,23.7,52.54,13.93,0.0,9.83,0.0,0.0,0.0,1.0,1,fresh_regulars
8,91,35.25,23.67,2,23,24.091250000000002,37.56625,22.392500000000002,12.03375,3.9175,0.0,0.0,0.0,8.0,4,loyals
9,99,17.75,3.004166666666667,2,8,9.296666666666667,64.83999999999999,14.153333333333334,3.2575,2.4391666666666665,5.39,0.625,0.0,12.0,4,loyals
10,111,24.5,11.434999999999999,1,19,7.1499999999999995,0.0,0.0,38.31,51.45,3.085,0.0,0.0,2.0,0,beauty_concious
11,113,46.8,17.497999999999998,1,11,31.646000000000004,5.223999999999999,4.274,12.878,5.016,3.686,36.898,0.0,5.0,8,grocery_regulars
12,118,36.22222222222222,1.961111111111111,7,17,26.69888888888889,3.5933333333333337,19.321111111111108,14.591111111111111,1.2633333333333334,0.14444444444444446,34.38666666666667,0.0,9.0,4,loyals
13,127,32.0,0.0,1,9,0.0,76.95,0.0,0.0,8.28,0.0,14.77,0.0,1.0,1,fresh_regulars
14,128,33.285714285714285,3.36,7,22,40.201428571428565,18.102857142857143,12.04857142857143,14.247142857142856,10.541428571428572,0.0,4.855714285714285,0.0,7.0,8,grocery_regulars
15,135,25.0,10.98,7,14,0.0,12.29,25.54,51.25,6.73,4.19,0.0,0.0,1.0,2,home_decorators
